,Subject,Condition,Emotion,Block,Image,IntrusionRating,Timing,Length
158,32CVI,DecodingThink,Neutral,4,Animals_105_h.jpg,2,2210,40
159,32CVI,DecodingThink,Emotion,4,Faces_156_h.jpg,1,1070,40
160,32CVI,DecodingThink,Emotion,4,Faces_156_h.jpg,1,2330,40
161,32CVI,DecodingThink,Neutral,4,People_164_h.jpg,1,1510,40
162,32CVI,DecodingThink,Neutral,4,People_164_h.jpg,1,2090,40
163,32CVI,DecodingThink,Neutral,5,Animals_105_h.jpg,2,790,40
164,32CVI,DecodingThink,Neutral,5,People_249_h.jpg,1,260,40
165,32CVI,DecodingThink,Neutral,6,People_249_h.jpg,1,640,40
166,32CVI,DecodingThink,Neutral,6,People_249_h.jpg,1,2120,40
167,32CVI,DecodingThink,Neutral,6,People_249_h.jpg,1,2450,40
168,32CVI,DecodingThink,Neutral,6,Faces_123_h.jpg,1,2410,40
169,32CVI,DecodingThink,Emotion,6,Objects_022_h.jpg,1,2900,40
170,32CVI,DecodingThink,Emotion,6,People_230_h.jpg,1,350,40
171,32CVI,DecodingThink,Neutral,6,People_095_h.jpg,1,390,40
172,32CVI,DecodingThink,Neutral,6,Animals_043_h.jpg,1,2190,40
173,32CVI,DecodingThink,Neutral,7,Faces_292_h.jpg,1,2120,40
174,32CVI,DecodingThink,Emotion,7,Objects_010_h.jpg,1,790,40
175,32CVI,DecodingThink,Emotion,7,Objects_010_h.jpg,1,1720,40
176,32CVI,DecodingThink,Neutral,7,Animals_088_h.jpg,1,1920,40
177,32CVI,DecodingThink,Emotion,7,Faces_368_h.jpg,1,1460,40
178,32CVI,DecodingThink,Neutral,7,People_249_h.jpg,1,2050,40
179,32CVI,DecodingThink,Neutral,7,Objects_029_h.jpg,1,1990,40
180,32CVI,DecodingThink,Neutral,8,Animals_088_h.jpg,1,430,40
181,32CVI,DecodingThink,Neutral,8,Objects_029_h.jpg,1,1330,40
182,32CVI,DecodingThink,Neutral,8,Objects_029_h.jpg,1,2440,40
183,32CVI,DecodingThink,Neutral,8,Objects_029_h.jpg,1,2550,40
184,34LME,DecodingThink,Emotion,1,Objects_088_h.jpg,1,410,20
185,34LME,DecodingThink,Neutral,1,People_097_h.jpg,2,2700,20
186,34LME,DecodingThink,Neutral,1,Animals_132_h.jpg,1,2150,20
187,34LME,DecodingThink,Emotion,1,People_217_h.jpg,1,2500,20
188,34LME,DecodingThink,Emotion,1,Objects_011_h.jpg,2,2520,20
189,34LME,DecodingThink,Emotion,1,Animals_041_h.jpg,2,750,20
190,34LME,DecodingThink,Neutral,2,Faces_211_h.jpg,1,2940,20
191,34LME,DecodingThink,Neutral,2,People_097_h.jpg,1,230,20
192,34LME,DecodingThink,Neutral,2,People_097_h.jpg,1,2810,20
193,34LME,DecodingThink,Emotion,2,People_217_h.jpg,1,1430,20
194,34LME,DecodingThink,Emotion,2,People_077_v.jpg,1,1020,20
195,34LME,DecodingThink,Emotion,2,People_077_v.jpg,1,2540,20
196,34LME,DecodingThink,Neutral,2,Faces_219_v.jpg,2,1060,20
197,34LME,DecodingThink,Neutral,2,Faces_219_v.jpg,2,1220,20
198,34LME,DecodingThink,Emotion,2,Animals_041_h.jpg,2,990,20
199,34LME,DecodingThink,Neutral,2,Animals_213_h.jpg,2,350,20
200,34LME,DecodingThink,Emotion,2,Animals_039_h.jpg,2,2810,20
201,34LME,DecodingThink,Neutral,3,Objects_242_h.jpg,1,1920,20
202,34LME,DecodingThink,Emotion,3,People_217_h.jpg,1,2370,20
203,34LME,DecodingThink,Neutral,3,Faces_184_h.jpg,1,1410,20
204,34LME,DecodingThink,Neutral,3,Faces_184_h.jpg,1,1490,20
205,34LME,DecodingThink,Neutral,3,Animals_213_h.jpg,2,2020,20
206,34LME,DecodingThink,Neutral,3,Animals_097_h.jpg,2,2870,20
207,34LME,DecodingThink,Emotion,3,Objects_154_h.jpg,1,500,20
208,34LME,DecodingThink,Neutral,3,People_179_h.jpg,1,950,20
209,34LME,DecodingThink,Emotion,3,People_209_v.jpg,1,1360,20
