,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
333,336,No-Think,Neutral,2187533,Objects_029_h.jpg,1,7
334,337,Think,Emotion,2192668,Objects_088_h.jpg,3,7
335,338,No-Think,Emotion,2197720,People_204_v.jpg,1,7
337,340,Think,Emotion,2207990,Animals_039_h.jpg,2,8
338,341,Think,Emotion,2212926,Objects_088_h.jpg,3,8
339,342,Think,Neutral,2217611,Faces_219_v.jpg,3,8
341,344,Think,Neutral,2227298,Animals_132_h.jpg,3,8
342,345,Think,Emotion,2232867,Objects_023_v.jpg,3,8
344,347,No-Think,Emotion,2243254,Animals_008_v.jpg,1,8
345,348,Think,Emotion,2248423,People_209_v.jpg,3,8
346,349,No-Think,Emotion,2253858,Objects_022_h.jpg,1,8
347,350,No-Think,Neutral,2258994,Faces_306_v.jpg,1,8
348,351,Think,Neutral,2264212,Animals_213_h.jpg,3,8
349,352,Think,Neutral,2269014,Objects_049_h.jpg,1,8
350,353,No-Think,Neutral,2274716,People_095_h.jpg,1,8
351,354,Think,Emotion,2279652,Objects_126_h.jpg,3,8
352,355,No-Think,Neutral,2285271,People_164_h.jpg,1,8
354,357,No-Think,Emotion,2295908,Faces_368_h.jpg,1,8
355,358,No-Think,Neutral,2300960,Animals_088_h.jpg,1,8
357,360,Think,Emotion,2311214,Objects_011_h.jpg,3,8
358,361,No-Think,Neutral,2316166,People_035_h.jpg,1,8
359,362,No-Think,Neutral,2321285,Objects_200_h.jpg,1,8
360,363,No-Think,Emotion,2326336,People_205_v.jpg,1,8
361,364,Think,Neutral,2332022,People_091_h.jpg,3,8
362,365,Think,Neutral,2336957,People_179_h.jpg,3,8
363,366,Think,Neutral,2342009,People_097_h.jpg,3,8
364,367,Think,Emotion,2346778,Animals_078_h.jpg,2,8
365,368,Think,Emotion,2351697,People_220_h.jpg,3,8
366,369,Think,Emotion,2356698,People_077_v.jpg,3,8
367,370,No-Think,Emotion,2362100,Objects_010_h.jpg,1,8
368,371,Think,Neutral,2366969,People_148_h.jpg,3,8
369,372,No-Think,Emotion,2372004,People_204_v.jpg,1,8
370,373,No-Think,Emotion,2376939,People_019_v.jpg,1,8
371,374,No-Think,Emotion,2381758,People_230_h.jpg,1,8
372,375,No-Think,Neutral,2386960,Objects_029_h.jpg,1,8
373,376,Think,Neutral,2392129,Animals_097_h.jpg,3,8
374,377,Think,Emotion,2397114,Objects_154_h.jpg,3,8
375,378,No-Think,Emotion,2402049,Faces_156_h.jpg,1,8
376,379,No-Think,Neutral,2406952,Faces_292_h.jpg,1,8
377,380,No-Think,Neutral,2412020,Animals_105_h.jpg,1,8
378,381,Think,Neutral,2417155,Faces_184_h.jpg,3,8
379,382,No-Think,Emotion,2421840,Animals_065_h.jpg,1,8
380,383,No-Think,Emotion,2431428,Objects_006_h.jpg,1,8
381,384,Think,Neutral,2436546,Objects_242_h.jpg,3,8
382,385,No-Think,Neutral,2441499,Animals_043_h.jpg,1,8
383,386,No-Think,Neutral,2446484,People_249_h.jpg,1,8
