,index,Cond1,Cond2,Image.OnsetTime,ImageFond,Black.RESP,ListImage.Cycle
287,289,No-Think,Neutral,1974211,People_179_h.jpg,2,6
288,290,Think,Neutral,1979363,Objects_164_h.jpg,3,7
290,292,No-Think,Emotion,1989117,Objects_011_h.jpg,1,7
291,294,Think,Emotion,2036135,Objects_021_v.jpg,3,7
292,295,Think,Emotion,2040920,Objects_013_h.jpg,3,7
293,296,No-Think,Neutral,2045472,Faces_184_h.jpg,1,7
294,297,No-Think,Neutral,2050240,Animals_097_h.jpg,1,7
295,298,No-Think,Neutral,2055192,Animals_132_h.jpg,1,7
296,299,No-Think,Emotion,2060212,People_209_v.jpg,1,7
297,300,Think,Neutral,2065614,People_028_h.jpg,3,7
298,301,Think,Neutral,2070498,Faces_060_h.jpg,3,7
299,302,Think,Emotion,2075434,Objects_125_h.jpg,3,7
300,303,No-Think,Neutral,2080686,Faces_211_h.jpg,1,7
301,304,Think,Emotion,2085954,People_213_v.jpg,3,7
302,305,Think,Emotion,2091373,People_247_v.jpg,3,7
303,306,No-Think,Emotion,2096508,Animals_039_h.jpg,1,7
304,307,Think,Emotion,2101660,Faces_296_h.jpg,3,7
305,308,Think,Neutral,2106696,Faces_061_h.jpg,3,7
306,309,Think,Emotion,2111764,Animals_018_h.jpg,3,7
307,310,Think,Neutral,2116733,People_100_h.jpg,3,7
308,311,No-Think,Emotion,2122185,People_077_v.jpg,1,7
309,312,No-Think,Neutral,2127337,People_148_h.jpg,1,7
310,313,No-Think,Emotion,2132022,Animals_078_h.jpg,1,7
311,314,No-Think,Neutral,2136958,People_097_h.jpg,1,7
312,315,No-Think,Emotion,2141743,Objects_154_h.jpg,1,7
313,316,Think,Emotion,2146528,Objects_106_v.jpg,3,7
314,317,Think,Neutral,2151347,Animals_155_v.jpg,3,7
315,318,Think,Emotion,2156315,People_239_h.jpg,3,7
316,319,No-Think,Neutral,2161200,Objects_049_h.jpg,1,7
317,320,No-Think,Emotion,2166286,Objects_088_h.jpg,1,7
318,321,No-Think,Emotion,2171188,Objects_126_h.jpg,1,7
319,322,Think,Emotion,2176290,People_223_h.jpg,3,7
321,324,No-Think,Neutral,2185810,Objects_242_h.jpg,1,7
322,325,Think,Neutral,2190712,Animals_108_h.jpg,3,7
323,326,No-Think,Emotion,2195697,People_220_h.jpg,1,7
324,327,Think,Neutral,2200399,People_151_h.jpg,3,7
325,328,Think,Emotion,2205151,Animals_062_h.jpg,3,7
326,329,Think,Neutral,2210169,People_026_h.jpg,3,7
327,330,Think,Neutral,2215371,Faces_065_h.jpg,3,7
328,331,No-Think,Neutral,2220457,People_091_h.jpg,1,7
329,332,No-Think,Emotion,2225192,Objects_023_v.jpg,1,7
330,333,Think,Neutral,2230177,People_149_h.jpg,3,7
331,334,Think,Neutral,2234946,Objects_270_h.jpg,3,7
332,335,No-Think,Emotion,2239748,Animals_041_h.jpg,1,7
333,336,No-Think,Neutral,2244800,Faces_219_v.jpg,1,7
334,337,Think,Emotion,2249768,Objects_007_h.jpg,3,7
335,338,No-Think,Emotion,2254753,People_217_h.jpg,1,7
336,339,No-Think,Emotion,2259573,Animals_078_h.jpg,1,8
337,340,Think,Emotion,2264491,Objects_021_v.jpg,3,8
338,341,Think,Neutral,2269209,People_151_h.jpg,3,8
339,342,Think,Neutral,2274144,People_028_h.jpg,3,8
340,343,Think,Emotion,2279280,Faces_296_h.jpg,3,8
341,344,Think,Neutral,2284215,Objects_270_h.jpg,3,8
342,345,Think,Emotion,2289134,Objects_007_h.jpg,3,8
343,346,No-Think,Emotion,2294002,Animals_039_h.jpg,1,8
344,347,No-Think,Emotion,2299105,People_077_v.jpg,1,8
345,348,Think,Emotion,2303906,Objects_106_v.jpg,3,8
346,349,No-Think,Neutral,2308858,Faces_219_v.jpg,1,8
347,350,No-Think,Emotion,2314010,People_220_h.jpg,1,8
348,351,No-Think,Neutral,2318879,Animals_213_h.jpg,1,8
349,352,Think,Emotion,2323697,People_213_v.jpg,3,8
350,353,No-Think,Emotion,2328749,People_209_v.jpg,1,8
351,354,Think,Neutral,2333651,Animals_108_h.jpg,3,8
352,355,No-Think,Neutral,2338486,People_148_h.jpg,1,8
353,356,No-Think,Neutral,2343221,People_091_h.jpg,1,8
354,357,No-Think,Neutral,2348040,Faces_211_h.jpg,1,8
355,358,Think,Neutral,2352842,People_149_h.jpg,3,8
357,360,No-Think,Emotion,2362562,Objects_088_h.jpg,1,8
358,361,Think,Emotion,2367415,Objects_013_h.jpg,3,8
359,362,Think,Emotion,2372549,People_239_h.jpg,3,8
360,363,Think,Neutral,2377718,Objects_164_h.jpg,3,8
361,364,No-Think,Emotion,2382687,Objects_011_h.jpg,1,8
362,365,No-Think,Emotion,2387405,Objects_154_h.jpg,1,8
363,366,No-Think,Neutral,2392140,People_179_h.jpg,1,8
364,367,No-Think,Neutral,2397292,People_097_h.jpg,1,8
367,370,No-Think,Emotion,2411965,Animals_041_h.jpg,1,8
368,371,No-Think,Neutral,2417017,Animals_132_h.jpg,1,8
369,372,Think,Neutral,2422052,Faces_065_h.jpg,3,8
370,373,Think,Emotion,2427104,People_247_v.jpg,3,8
371,374,Think,Neutral,2431989,People_100_h.jpg,3,8
372,375,No-Think,Neutral,2436808,Faces_184_h.jpg,1,8
373,376,Think,Neutral,2441660,People_026_h.jpg,3,8
374,377,No-Think,Neutral,2446578,Objects_242_h.jpg,1,8
375,378,No-Think,Emotion,2451313,Objects_126_h.jpg,1,8
376,379,Think,Neutral,2456282,Faces_061_h.jpg,3,8
377,380,No-Think,Neutral,2461151,Animals_097_h.jpg,1,8
378,381,Think,Emotion,2465920,Animals_062_h.jpg,3,8
379,382,No-Think,Emotion,2470988,People_217_h.jpg,1,8
380,383,Think,Neutral,2475973,Animals_155_v.jpg,3,8
381,384,Think,Emotion,2480992,People_223_h.jpg,3,8
382,385,Think,Emotion,2485877,Objects_125_h.jpg,3,8
383,386,Think,Emotion,2490846,Animals_018_h.jpg,3,8
