,Subject,Condition,Time,Length,AUC,Percent_intrusion
4823,56BCL,Think,19,4,,14.606741573033707
4824,56BCL,Think,19,5,,5.056179775280898
4825,56BCL,Think,20,1,,100.0
4826,56BCL,Think,20,2,,84.8314606741573
4827,56BCL,Think,20,3,,29.213483146067414
4828,56BCL,Think,20,4,,6.741573033707865
4829,56BCL,Think,20,5,,3.3707865168539324
4830,56BCL,Think,21,1,,99.43820224719101
4831,56BCL,Think,21,2,,69.10112359550563
4832,56BCL,Think,21,3,,22.47191011235955
4833,56BCL,Think,21,4,,7.303370786516854
4834,56BCL,Think,21,5,,2.247191011235955
4835,56BCL,Think,22,1,,100.0
4836,56BCL,Think,22,2,,73.59550561797754
4837,56BCL,Think,22,3,,27.52808988764045
4838,56BCL,Think,22,4,,11.797752808988763
4839,56BCL,Think,22,5,,3.3707865168539324
4840,56BCL,Think,23,1,,100.0
4841,56BCL,Think,23,2,,84.26966292134831
4842,56BCL,Think,23,3,,32.02247191011236
4843,56BCL,Think,23,4,,15.168539325842698
4844,56BCL,Think,23,5,,6.179775280898876
4845,56BCL,Think,24,1,,100.0
4846,56BCL,Think,24,2,,97.19101123595506
4847,56BCL,Think,24,3,,74.71910112359551
4848,56BCL,Think,24,4,,47.752808988764045
4849,56BCL,Think,24,5,,31.46067415730337
4850,56BCL,Think,25,1,,100.0
4851,56BCL,Think,25,2,,98.87640449438202
4852,56BCL,Think,25,3,,83.70786516853933
4853,56BCL,Think,25,4,,55.61797752808989
4854,56BCL,Think,25,5,,36.51685393258427
4855,56BCL,Think,26,1,,100.0
4856,56BCL,Think,26,2,,98.31460674157303
4857,56BCL,Think,26,3,,77.52808988764045
4858,56BCL,Think,26,4,,53.93258426966292
4859,56BCL,Think,26,5,,33.146067415730336
4860,56BCL,Think,27,1,,100.0
4861,56BCL,Think,27,2,,89.32584269662921
4862,56BCL,Think,27,3,,55.0561797752809
4863,56BCL,Think,27,4,,23.03370786516854
4864,56BCL,Think,27,5,,9.550561797752808
4865,56BCL,Think,28,1,,100.0
4866,56BCL,Think,28,2,,91.57303370786516
4867,56BCL,Think,28,3,,67.41573033707866
4868,56BCL,Think,28,4,,37.07865168539326
4869,56BCL,Think,28,5,,24.15730337078652
4870,56BCL,Think,29,1,,100.0
4871,56BCL,Think,29,2,,92.69662921348315
4872,56BCL,Think,29,3,,55.0561797752809
4873,56BCL,Think,29,4,,32.58426966292135
4874,56BCL,Think,29,5,,15.168539325842698
4875,56BCL,No-Think,5,1,0.5,
4876,56BCL,No-Think,5,2,0.5270885028949546,
4877,56BCL,No-Think,5,3,0.539633305762338,
4878,56BCL,No-Think,5,4,0.5184036393713813,
4879,56BCL,No-Think,5,5,0.5141990625861593,
4880,56BCL,No-Think,6,1,0.5042735042735043,
4881,56BCL,No-Think,6,2,0.5205403915081335,
4882,56BCL,No-Think,6,3,0.5312241521918941,
4883,56BCL,No-Think,6,4,0.49048800661703884,
4884,56BCL,No-Think,6,5,0.503791011855528,
4885,56BCL,No-Think,7,1,0.5,
4886,56BCL,No-Think,7,2,0.4939343810311552,
4887,56BCL,No-Think,7,3,0.4509925558312655,
4888,56BCL,No-Think,7,4,0.4729114971050455,
4889,56BCL,No-Think,7,5,0.5033085194375516,
4890,56BCL,No-Think,8,1,0.49669148056244833,
4891,56BCL,No-Think,8,2,0.4646401985111663,
4892,56BCL,No-Think,8,3,0.5222635787151916,
4893,56BCL,No-Think,8,4,0.4990350151640474,
4894,56BCL,No-Think,8,5,0.5,
4895,56BCL,No-Think,9,1,0.5,
4896,56BCL,No-Think,9,2,0.49765646539840086,
4897,56BCL,No-Think,9,3,0.5400468706920319,
4898,56BCL,No-Think,9,4,0.524055693410532,
4899,56BCL,No-Think,9,5,0.515577612351806,
4900,56BCL,No-Think,10,1,0.5,
4901,56BCL,No-Think,10,2,0.5071684587813621,
4902,56BCL,No-Think,10,3,0.5097187758478081,
4903,56BCL,No-Think,10,4,0.4813895781637717,
4904,56BCL,No-Think,10,5,0.5141990625861593,
4905,56BCL,No-Think,11,1,0.5,
4906,56BCL,No-Think,11,2,0.5052384891094569,
4907,56BCL,No-Think,11,3,0.5390818858560794,
4908,56BCL,No-Think,11,4,0.5022056796250345,
4909,56BCL,No-Think,11,5,0.4838020402536531,
4910,56BCL,No-Think,12,1,0.5,
4911,56BCL,No-Think,12,2,0.5266060104769783,
4912,56BCL,No-Think,12,3,0.5433553901295837,
4913,56BCL,No-Think,12,4,0.5734077750206783,
4914,56BCL,No-Think,12,5,0.525089605734767,
4915,56BCL,No-Think,13,1,0.5,
4916,56BCL,No-Think,13,2,0.4905569341053212,
4917,56BCL,No-Think,13,3,0.5054452715743039,
4918,56BCL,No-Think,13,4,0.47711607389026744,
